UserID,Age,Category,Gender,Location,Income,Debt,Owns_Property,Profession,Demographics,Platform,Total_Tim_ Spent,Video_Category,Time Spent On Video,Scroll Rate,Frequency,Watch Reason,DeviceType,OS,Watch Time,CurrentActivity,ConnectionType
1,56,50-59,Male,Pakistan,,True,True,Engineer,Rural,Instagram,,Pranks,26.0,87.0,Night,Procrastination,Smartphone,Android,9:00 PM,Commuting,Mobile Data
2,46,40-49,Female,Mexico,27999.0,False,True,Artist,Urban,Instagram,228.0,Pranks,25.0,46.0,Afternoon,Habit,Computer,Android,,At school,Wi-Fi
3,32,30-39,Female,United States,42436.0,False,True,Engineer,Rural,Facebook,30.0,Vlogs,9.0,,Evening,Entertainment,Tablet,Android,2:00 PM,At home,Mobile Data
4,60,60-69,Male,Barzil,62963.0,True,False,Waiting staff,Rural,YouTube,101.0,Vlogs,6.0,,Night,Habit,Smartphone,Android,9:00 PM,Commuting,Mobile Data
5,25,20-29,Male,Pakistan,22096.0,False,True,Manager,Urban,TikTok,136.0,Gaming,,4.0,Morning,Boredom,Smartphone,iOS,,At home,Mobile Data
6,38,30-39,Male,Vietnam,45279.0,False,False,driver,Urban,Instagram,,Jokes/Memes,27.0,38.0,Night,Entertainment,Computer,Android,,At home,Wi-Fi
7,56,50-59,Male,India,46201.0,False,,Students,Rural,TikTok,247.0,Vlogs,22.0,63.0,Morning,Habit,Smartphone,Android,,At school,Wi-Fi
8,36,30-39,Male,Barzil,39715.0,False,False,Engineer,Rural,Instagram,191.0,Entertainment,28.0,29.0,Night,Entertainment,Tablet,Android,9:00 PM,At home,Mobile Data
9,40,40-49,Male,United States,49309.0,False,False,Waiting staff,Rural,Instagram,34.0,Vlogs,20.0,,Night,Entertainment,Computer,Android,9:00 PM,At home,Mobile Data
10,28,20-29,Other,United States,35078.0,False,False,Students,Rural,YouTube,165.0,ASMR,4.0,,Evening,Boredom,Smartphone,iOS,2:00 PM,At home,Mobile Data
11,28,20-29,Male,Indonesia,76614.0,True,True,Manager,Rural,Instagram,14.0,Pranks,2.0,29.0,Afternoon,Boredom,Smartphone,Android,,At home,Mobile Data
12,41,40-49,Other,Philippines,25105.0,False,False,Labor/Worker,Urban,TikTok,129.0,Life Hacks,26.0,35.0,Evening,Habit,Tablet,Android,2:00 PM,At home,Wi-Fi
13,53,50-59,Male,Japan,22839.0,False,False,Waiting staff,Rural,Instagram,286.0,Gaming,4.0,70.0,Afternoon,Habit,Smartphone,Android,,At school,Mobile Data
14,57,50-59,Male,Indonesia,88920.0,True,True,Waiting staff,Rural,Facebook,27.0,Vlogs,8.0,23.0,Evening,Entertainment,Tablet,Android,2:00 PM,Commuting,Wi-Fi
15,41,40-49,Other,Vietnam,63619.0,True,True,Cashier,Rural,YouTube,207.0,Gaming,13.0,46.0,Evening,Boredom,Tablet,iOS,2:00 PM,At school,Wi-Fi
16,20,20-29,Female,Philippines,62821.0,True,True,Students,Rural,YouTube,66.0,Entertainment,10.0,44.0,Evening,Entertainment,Smartphone,MacOS,2:00 PM,At school,Mobile Data
17,39,30-39,Female,Mexico,33493.0,False,False,Waiting staff,Rural,Facebook,102.0,ASMR,,,Afternoon,Habit,Smartphone,iOS,5:00 PM,At home,Wi-Fi
18,19,15-19,Female,Barzil,37069.0,False,False,Students,Rural,Facebook,28.0,ASMR,9.0,52.0,Evening,Habit,Smartphone,Windows,2:00 PM,At home,Mobile Data
19,41,40-49,Other,Japan,27531.0,False,False,Labor/Worker,Rural,Facebook,202.0,Pranks,,8.0,Evening,Entertainment,Smartphone,iOS,2:00 PM,At work,Mobile Data
20,61,60-69,Male,United States,57051.0,True,True,Labor/Worker,Urban,Instagram,246.0,Vlogs,13.0,55.0,Morning,Habit,Smartphone,MacOS,,At work,Mobile Data
21,47,40-49,Male,India,27736.0,False,False,Waiting staff,Rural,YouTube,286.0,Vlogs,18.0,66.0,Afternoon,Habit,Tablet,iOS,5:00 PM,Commuting,Mobile Data
22,55,50-59,Male,Barzil,27710.0,False,False,driver,Rural,Facebook,236.0,Entertainment,15.0,77.0,Afternoon,Boredom,Computer,Android,5:00 PM,Commuting,Mobile Data
23,19,15-19,Female,Indonesia,87155.0,True,False,Students,Rural,Instagram,242.0,Entertainment,2.0,40.0,Night,Boredom,Smartphone,Android,,At work,Mobile Data
24,38,30-39,Female,India,33975.0,False,False,Waiting staff,Urban,Facebook,49.0,Pranks,11.0,85.0,Evening,Habit,Smartphone,iOS,2:00 PM,At home,Mobile Data
25,50,50-59,Male,Germany,82424.0,True,True,Waiting staff,Rural,TikTok,162.0,Jokes/Memes,29.0,31.0,Evening,Boredom,Smartphone,Android,2:00 PM,At home,Mobile Data
26,29,20-29,Male,Japan,65603.0,True,False,Labor/Worker,Urban,TikTok,136.0,Jokes/Memes,14.0,48.0,Afternoon,Entertainment,Smartphone,Android,5:00 PM,At school,
27,39,30-39,Male,Japan,43252.0,False,True,Students,Rural,YouTube,246.0,Gaming,22.0,61.0,Evening,Habit,Smartphone,Android,2:00 PM,Commuting,Mobile Data
28,61,60-69,Other,Vietnam,21431.0,False,False,Manager,Urban,Instagram,64.0,Life Hacks,15.0,52.0,Night,Habit,Smartphone,iOS,,At home,Wi-Fi
29,42,40-49,Female,India,94603.0,True,True,Labor/Worker,Rural,TikTok,181.0,Entertainment,14.0,38.0,Evening,Boredom,Smartphone,MacOS,2:00 PM,At work,Mobile Data
30,44,40-49,Male,India,57481.0,True,False,driver,Urban,TikTok,118.0,Pranks,16.0,91.0,Evening,Entertainment,Smartphone,Android,,At home,Wi-Fi
31,59,50-59,Male,United States,29557.0,False,True,driver,Rural,Instagram,193.0,Pranks,23.0,,Morning,Habit,Smartphone,iOS,8:00 AM,At school,Wi-Fi
32,45,40-49,Male,United States,94971.0,True,False,Students,Rural,Facebook,207.0,Jokes/Memes,29.0,87.0,Afternoon,Habit,Smartphone,Android,5:00 PM,At home,Mobile Data
33,33,30-39,Male,India,20162.0,False,,Labor/Worker,Rural,Instagram,96.0,Trends,15.0,55.0,Night,Boredom,Tablet,iOS,9:00 PM,Commuting,Mobile Data
34,32,30-39,Other,Mexico,54742.0,True,False,Waiting staff,Rural,Facebook,210.0,Trends,19.0,85.0,Evening,Entertainment,Smartphone,Android,,At work,Mobile Data
35,64,60-69,Female,Vietnam,39675.0,False,True,Students,Rural,TikTok,284.0,Entertainment,27.0,13.0,Evening,Entertainment,Tablet,iOS,2:00 PM,At school,Mobile Data
36,61,60-69,Other,Mexico,93997.0,True,False,Students,Urban,TikTok,220.0,Jokes/Memes,9.0,,Night,Procrastination,Smartphone,Android,9:00 PM,At home,Wi-Fi
37,20,20-29,Male,United States,37015.0,False,True,,Rural,TikTok,127.0,Entertainment,5.0,,Night,Entertainment,Tablet,Android,,At home,Mobile Data
38,54,50-59,Male,Philippines,70057.0,True,False,Students,Urban,YouTube,200.0,Jokes/Memes,5.0,,Afternoon,Boredom,Smartphone,iOS,5:00 PM,At school,Wi-Fi
39,24,20-29,Male,Barzil,52591.0,True,True,Cashier,Rural,YouTube,51.0,Jokes/Memes,11.0,71.0,Night,Habit,Smartphone,Android,,At home,Mobile Data
40,38,30-39,Male,Germany,29833.0,False,False,Students,Rural,YouTube,51.0,ASMR,28.0,,Afternoon,Boredom,Tablet,Android,5:00 PM,Commuting,Mobile Data
41,26,20-29,Male,Pakistan,27896.0,False,,Waiting staff,Urban,Instagram,285.0,Comedy,20.0,,Evening,Boredom,Smartphone,Android,2:00 PM,At work,Mobile Data
42,56,50-59,Male,India,52972.0,True,False,Students,Urban,TikTok,26.0,ASMR,25.0,,Evening,Habit,Smartphone,Android,2:00 PM,At school,Mobile Data
43,35,30-39,Other,Indonesia,69733.0,True,True,Cashier,Rural,TikTok,292.0,Life Hacks,24.0,58.0,Morning,Entertainment,Tablet,MacOS,,At home,Mobile Data
44,21,20-29,Female,Pakistan,61800.0,True,False,Waiting staff,Rural,Instagram,267.0,Gaming,28.0,30.0,Night,Entertainment,Tablet,Windows,9:00 PM,At school,Mobile Data
45,42,40-49,Other,Philippines,25347.0,False,True,Labor/Worker,Urban,YouTube,72.0,Gaming,4.0,18.0,Evening,Boredom,Smartphone,iOS,,Commuting,Mobile Data
46,31,30-39,Female,Pakistan,79063.0,True,False,Waiting staff,Rural,Instagram,71.0,Comedy,20.0,18.0,Evening,Procrastination,Smartphone,Windows,,At home,Mobile Data
47,26,20-29,Male,Vietnam,22643.0,False,True,Labor/Worker,Rural,YouTube,109.0,Trends,18.0,74.0,Afternoon,Procrastination,Smartphone,MacOS,,At school,Mobile Data
48,43,40-49,Male,Japan,60785.0,True,True,Students,Rural,TikTok,28.0,Pranks,25.0,39.0,Night,Entertainment,Tablet,Android,9:00 PM,At work,Mobile Data
49,19,15-19,Female,India,38681.0,False,True,Students,Rural,Facebook,,Trends,3.0,,Evening,Boredom,Tablet,Android,2:00 PM,At school,Wi-Fi
50,37,30-39,Male,United States,70026.0,True,True,Students,Urban,YouTube,255.0,Life Hacks,4.0,26.0,Afternoon,Procrastination,Smartphone,iOS,,At home,Mobile Data
51,45,40-49,Female,United States,35892.0,False,False,Waiting staff,Rural,TikTok,260.0,Entertainment,14.0,71.0,Afternoon,Entertainment,Tablet,Windows,5:00 PM,At home,Wi-Fi
52,64,60-69,Other,Mexico,67299.0,True,True,driver,Rural,TikTok,90.0,Entertainment,7.0,7.0,Evening,Entertainment,Tablet,iOS,,At home,Mobile Data
53,24,20-29,Male,Germany,37073.0,False,False,Students,Rural,Facebook,48.0,Pranks,26.0,69.0,Evening,Boredom,Tablet,MacOS,2:00 PM,Commuting,Mobile Data
54,61,60-69,Male,Vietnam,50682.0,True,False,driver,Rural,TikTok,,Trends,8.0,65.0,Afternoon,Procrastination,Computer,Android,,At work,Mobile Data
55,25,20-29,Other,India,34289.0,False,False,Cashier,Rural,TikTok,206.0,Life Hacks,24.0,46.0,Evening,Habit,Smartphone,iOS,2:00 PM,At home,Mobile Data
56,64,60-69,Male,Japan,,False,False,Manager,Rural,YouTube,167.0,Life Hacks,16.0,18.0,Night,Boredom,Smartphone,Android,9:00 PM,At home,Wi-Fi
57,52,50-59,Male,Indonesia,68330.0,True,False,Labor/Worker,Rural,YouTube,213.0,Jokes/Memes,20.0,13.0,Afternoon,Entertainment,Smartphone,Android,5:00 PM,At school,Mobile Data
58,31,30-39,Male,United States,86707.0,True,True,Waiting staff,Rural,Facebook,205.0,Entertainment,15.0,25.0,Afternoon,Habit,Smartphone,Android,,At home,Mobile Data
59,34,30-39,Male,Vietnam,97454.0,True,False,Waiting staff,Rural,Facebook,225.0,Vlogs,7.0,8.0,Night,Entertainment,Tablet,Android,9:00 PM,At school,Mobile Data
60,53,50-59,Male,Japan,85428.0,True,False,driver,Urban,TikTok,294.0,Life Hacks,26.0,74.0,Night,Habit,Smartphone,iOS,9:00 PM,At home,Mobile Data
61,57,50-59,Female,Germany,70601.0,True,True,driver,Rural,YouTube,205.0,Entertainment,17.0,32.0,Afternoon,Entertainment,Smartphone,iOS,5:00 PM,At home,Wi-Fi
62,21,20-29,Other,United States,97465.0,True,True,Waiting staff,Urban,Facebook,161.0,Jokes/Memes,22.0,,Afternoon,Procrastination,Smartphone,Android,5:00 PM,Commuting,Wi-Fi
63,19,15-19,Male,United States,,False,True,Waiting staff,Rural,Facebook,23.0,Entertainment,22.0,79.0,Evening,Habit,Computer,Android,,At school,Mobile Data
64,23,20-29,Male,Vietnam,42669.0,False,False,Students,Rural,Instagram,155.0,ASMR,22.0,,Evening,Boredom,Computer,iOS,2:00 PM,Commuting,Wi-Fi
65,59,50-59,Male,United States,90968.0,True,False,Teacher,Rural,Facebook,66.0,Life Hacks,12.0,48.0,Afternoon,Entertainment,Smartphone,Android,,At school,Mobile Data
66,21,20-29,Other,India,40644.0,False,False,Teacher,Rural,TikTok,220.0,Life Hacks,18.0,,Afternoon,Habit,Smartphone,MacOS,5:00 PM,At home,Mobile Data
67,46,40-49,Other,India,38745.0,False,True,Cashier,Rural,YouTube,277.0,Gaming,24.0,40.0,Evening,Boredom,Smartphone,Android,2:00 PM,Commuting,Mobile Data
68,35,30-39,Male,Mexico,48228.0,False,False,Students,Rural,Facebook,219.0,Trends,14.0,84.0,Evening,Boredom,Smartphone,MacOS,2:00 PM,At home,
69,43,40-49,Male,Vietnam,54521.0,True,False,Artist,Rural,Instagram,26.0,Life Hacks,15.0,15.0,Night,Habit,Smartphone,MacOS,,At home,Wi-Fi
70,61,60-69,Female,Mexico,46928.0,False,False,Students,Rural,YouTube,295.0,Gaming,15.0,99.0,Evening,Habit,Computer,Android,2:00 PM,At home,Mobile Data
